Wavenumber,Original,Baseline,Corrected
900.53082,2415070.0,2361250.359786282,53819.64021371817
901.8009,2401946.0,2355313.5580718853,46632.44192811474
903.07098,2392706.0,2349378.7550877663,43327.24491223367
904.34082,2384846.0,2343447.9495642018,41398.05043579824
905.60907,2377374.0,2337523.140231466,39850.85976853408
906.87866,2368957.0,2331606.325819832,37350.67418016819
908.14807,2356148.0,2325699.50505957,30448.494940429926
909.41583,2352550.0,2319804.676680949,32745.32331905095
910.68506,2342654.0,2313923.8394142357,28730.16058576433
911.95404,2336986.0,2308058.991989693,28927.00801030686
913.22137,2327516.0,2302212.133137584,25303.8668624158
914.49011,2318570.0,2296385.2615881716,22184.73841182841
915.75714,2311669.0,2290580.3760717143,21088.62392828567
917.02557,2305168.0,2284799.47531847,20368.52468152996
918.29388,2294394.0,2279044.558058695,15349.441941305064
919.56049,2288831.0,2273317.623022643,15513.376977357082
920.82697,2280314.0,2267620.668940567,12693.331059433054
922.09485,2271844.0,2261955.6945427186,9888.305457281414
923.36102,2266964.0,2256324.6985593466,10639.301440653391
924.62854,2261654.0,2250729.6797206993,10924.320279300679
925.89441,2250915.0,2245172.6367570227,5742.363242977299
927.16022,2247067.0,2239655.568398561,7411.431601439137
928.42731,2238906.0,2234180.4733755565,4725.526624443475
929.69281,2234253.0,2228749.350418251,5503.649581748992
930.95807,2224763.0,2223364.198256883,1398.801743117161
932.22485,2223334.0,2218027.01562169,5306.98437830992
933.48987,2215702.0,2212741.426767631,2960.5732323690318
934.7547,2208854.0,2207511.0559496614,1342.944050338585
936.01953,2205598.0,2202339.527422737,3258.4725772631355
937.28412,2196873.0,2197231.0709172743,-358.07091727433726
938.54858,2194526.0,2192189.916163689,2336.083836311009
939.81287,2189223.0,2187215.4371299925,2007.562870007474
941.07855,2186698.0,2182307.0077841925,4390.99221580755
942.34259,2178763.0,2177464.002094295,1298.9979057051241
943.60645,2175754.0,2172685.7940283036,3068.205971696414
944.87018,2173430.0,2167971.869319464,5458.13068053592
946.13373,2167747.0,2163321.71370102,4425.286298980005
947.39581,2166436.0,2158734.8129062126,7701.187093787361
948.65906,2160931.0,2154210.6526682824,6720.34733171761
949.92224,2161326.0,2149748.7187204678,11577.281279532239
951.18524,2155307.0,2145348.496796006,9958.503203994129
952.44806,2154374.0,2141009.472628133,13364.527371867094
953.71088,2151207.0,2136731.1319500855,14475.868049914483
954.97345,2150928.0,2132512.9604950985,18415.039504901506
956.23438,2148433.0,2128354.4439964043,20078.556003595702
957.49664,2146768.0,2124255.0681872326,22512.931812767405
958.75879,2146825.0,2120214.318800811,26610.68119918881
960.02087,2147582.0,2116231.681570366,31350.318429633975
961.28125,2150140.0,2112306.6422291207,37833.35777087929
962.54297,2154358.0,2108438.686510299,45919.31348970113
963.80304,2156826.0,2104627.300147122,52198.69985287823
965.06445,2163164.0,2100871.9688728084,62292.031127191614
966.32574,2176191.0,2097172.178420576,79018.8215794242
967.58545,2190850.0,2093527.4145236393,97322.58547636075
968.84644,2201658.0,2089937.162915213,111720.83708478697
970.10577,2222166.0,2086400.9093285096,135765.0906714904
971.36652,2237798.0,2082918.139496739,154879.86050326098
972.62555,2263796.0,2079488.3391531098,184307.66084689018
973.88452,2296011.0,2076110.9940308272,219900.0059691728
975.14478,2347830.0,2072785.589863095,275044.41013690503
976.4035,2424172.0,2069511.6123831158,354660.3876168842
977.66345,2538946.0,2066288.5473240914,472657.4526759086
978.92181,2720105.0,2063115.8804192212,656989.1195807788
980.18005,3001584.0,2059993.097401703,941590.902598297
981.43811,3451952.0,2056919.684004732,1395032.315995268
982.69751,4155031.0,2053895.1259615018,2101135.874038498
983.95532,5047886.0,2050918.9090052044,2996967.090994796
985.21295,5757430.0,2047990.5188690284,3709439.4811309716
986.47046,5758927.0,2045109.4412861618,3713817.5587138385
987.72784,5058487.0,2042275.1619897902,3016211.8380102096
988.98511,4155136.0,2039487.1667130985,2115648.8332869015
990.24219,3456469.0,2036744.9411892707,1419724.0588107293
991.50061,2994564.0,2034047.9711514881,960516.0288485119
992.75739,2724288.0,2031395.74233293,692892.25766707
994.01404,2550252.0,2028787.7404667742,521464.2595332258
995.27051,2452896.0,2026223.4512861972,426672.5487138028
996.52539,2384918.0,2023702.3605243743,361215.6394756257
997.78162,2350560.0,2021223.9539144791,329336.0460855209
999.03766,2325616.0,2018787.7171896836,306828.2828103164
1000.2936,2316014.0,2016393.1360831568,299620.8639168432
1001.5494,2309785.0,2014039.6963280665,295745.3036719335
1002.8051,2319472.0,2011726.883657579,307745.1163424209
1004.0605,2329036.0,2009454.1838048592,319581.8161951408
1005.3144,2340990.0,2007221.082503069,333768.91749693104
1006.5696,2361138.0,2005027.0654853678,356110.9345146322
1007.8248,2385189.0,2002871.6184849152,382317.38151508477
1009.0797,2408648.0,2000754.22723487,407893.77276513004
1010.3329,2438997.0,1998674.3774683888,440322.62253161124
1011.5876,2465365.0,1996631.5549186275,468733.4450813725
1012.8406,2493868.0,1994625.2453187392,499242.7546812608
1014.095,2524409.0,1992654.9344018768,531754.0655981232
1015.3492,2549222.0,1990720.1079011925,558501.8920988075
1016.6019,2577519.0,1988820.251549837,588698.748450163
1017.8558,2593136.0,1986954.8510809594,606181.1489190406
1019.1081,2607362.0,1985123.392227707,622238.607772293
1020.3618,2609564.0,1983325.360723225,626238.6392767751
1021.6138,2604861.0,1981560.2423006592,623300.7576993408
1022.8656,2595857.0,1979827.5226931532,616029.4773068468
1024.1189,2571778.0,1978126.6876338494,593651.3123661506
1025.3704,2542727.0,1976457.2228558892,566269.7771441108
1026.6218,2508757.0,1974818.614092413,533938.3859075869
1027.8746,2470539.0,1973210.347076559,497328.652923441
1029.1259,2429247.0,1971631.9075414639,457615.09245853615
1030.3768,2386825.0,1970082.781220262,416742.21877973806
1031.6278,2347528.0,1968562.453846087,378965.546153913
1032.88,2308661.0,1967070.4111520713,341590.5888479287
1034.1306,2270464.0,1965606.1388713464,304857.86112865363
1035.3811,2242041.0,1964169.1227370403,277871.8772629597
1036.6313,2216652.0,1962758.8484822796,253893.15151772043
1037.8816,2196602.0,1961374.8018401887,235227.19815981132
1039.1316,2186440.0,1960016.468543893,226423.53145610704
1040.3816,2183113.0,1958683.3343265154,224429.66567348456
1041.6313,2187117.0,1957374.8849211764,229742.11507882364
1042.8809,2205665.0,1956090.606060995,249574.39393900498
1044.1304,2240609.0,1954829.983479089,285779.0165209109
1045.3796,2298677.0,1953592.5029085747,345084.49709142535
1046.6288,2393980.0,1952377.6500825656,441602.3499174344
1047.8779,2547127.0,1951184.9107341757,595942.0892658243
1049.1268,2765272.0,1950013.7705965172,815258.2294034828
1050.3741,3019597.0,1948863.7154027016,1070733.2845972984
1051.6227,3188117.0,1947734.2308858372,1240382.7691141628
1052.8712,3152465.0,1946624.8027790312,1205840.1972209688
1054.1195,2934170.0,1945534.9168153892,988635.0831846108
1055.3662,2667197.0,1944464.058728016,722732.941271984
1056.6143,2453234.0,1943411.7142500156,509822.28574998444
1057.8622,2303702.0,1942377.3691144895,361324.6308855105
1059.1085,2204898.0,1941360.5090545379,263537.49094546214
1060.3562,2136028.0,1940360.6198032587,195667.38019674132
1061.6022,2090739.0,1939377.1870937492,151361.81290625082
1062.8495,2059832.0,1938409.696659105,121422.3033408951
1064.0952,2040969.0,1937457.6342324198,103511.36576758022
1065.3423,2024034.0,1936520.4855467854,87513.5144532146
1066.5878,2015348.0,1935597.736335291,79750.26366470894
1067.8345,2014302.0,1934688.872331025,79613.12766897492
1069.0797,2007924.0,1933793.3792670737,74130.6207329263
1070.3262,2007136.0,1932910.7428765222,74225.25712347776
1071.571,2000776.0,1932040.4488924535,68735.55110754655
1072.8158,1990877.0,1931181.9830479482,59695.01695205178
1074.0619,1977968.0,1930334.8310760865,47633.1689239135
1075.3064,1972744.0,1929498.4787099455,43245.521290054545
1076.5507,1963116.0,1928672.4116826016,34443.58831739845
1077.7948,1954430.0,1927856.1157271292,26573.88427287084
1079.0388,1949910.0,1927049.076576601,22860.923423398985
1080.2843,1947308.0,1926250.7799640882,21057.22003591177
1081.5281,1944881.0,1925460.711622661,19420.28837733902
1082.7717,1940302.0,1924678.357285388,15623.642714611953
1084.0151,1938967.0,1923903.2026853363,15063.79731466365
1085.2584,1937705.0,1923134.7335555712,14570.266444428824
1086.5017,1935698.0,1922372.4356291553,13325.564370844746
1087.7448,1936312.0,1921615.7946391506,14696.205360849388
1088.9875,1934281.0,1920864.2963186172,13416.703681382816
1090.2303,1932467.0,1920117.4264006144,12349.573599385563
1091.473,1932807.0,1919374.6706182,13432.329381800024
1092.7156,1931723.0,1918635.514704429,13087.485295570921
1093.9579,1929103.0,1917899.4443923568,11203.555607643211
1095.1986,1930824.0,1917165.9454150372,13658.054584962782
1096.4407,1929304.0,1916434.5035055229,12869.49649447715
1097.6826,1928853.0,1915704.6043968631,13148.395603136858
1098.9243,1928063.0,1914975.7338221073,13087.266177892685
1100.1646,1928095.0,1914247.3775143032,13847.622485696804
